OPR_DT,VALUE
2/13/23,47.0146
2/13/23,48.61239
2/13/23,44.85063
2/13/23,41.78758
2/13/23,39.2364
2/13/23,37.54441
2/13/23,36.99775
2/13/23,37.81804
2/13/23,35.29452
2/13/23,32.89346
2/13/23,36.74661
2/13/23,47.26338
2/13/23,50.7181
2/13/23,51.97832
2/13/23,48.60788
2/13/23,45.32363
2/13/23,46.01477
2/13/23,41.99928
2/13/23,39.20672
2/13/23,43.69271
2/13/23,33.44798
2/13/23,32.85081
2/13/23,30.80848
2/13/23,30.69218
2/13/23,29.81105
2/13/23,25.58054
2/13/23,25.84086
2/13/23,25.80126
2/13/23,24.87149
2/13/23,21.13714
2/13/23,20.85851
2/13/23,18.25439
2/13/23,14.97668
2/13/23,12.87818
2/13/23,14.77724
2/13/23,17.35274
2/13/23,17.11635
2/13/23,18.08944
2/13/23,15.86484
2/13/23,16.00635
2/13/23,16.75597
2/13/23,13.91516
2/13/23,9.4603
2/13/23,7.4724
2/13/23,10.40115
2/13/23,10.68961
2/13/23,11.98439
2/13/23,15.38039
2/13/23,15.38039
2/13/23,15.10097
2/13/23,13.87295
2/13/23,14.75435
2/13/23,9.88525
2/13/23,8.54381
2/13/23,2.94563
2/13/23,-0.01005
2/13/23,-0.01006
2/13/23,-0.01016
2/13/23,-0.01016
2/13/23,0.01504
2/13/23,-0.00982
2/13/23,-0.01015
2/13/23,12.23936
2/13/23,1.37102
2/13/23,-0.00857
2/13/23,-0.01004
2/13/23,-0.01005
2/13/23,-0.01002
2/13/23,-0.00997
2/13/23,-0.00997
2/13/23,-0.00996
2/13/23,0.50408
2/13/23,-0.00928
2/13/23,-0.00985
2/13/23,-0.01012
2/13/23,-0.0302
2/13/23,-0.13204
2/13/23,-0.08967
2/13/23,-0.00362
2/13/23,0.13062
2/13/23,0.04906
2/13/23,-0.07362
2/13/23,-3.92167
2/13/23,-9.02401
2/13/23,-9.00576
2/13/23,-9.02018
2/13/23,-9.40748
2/13/23,-6.21148
2/13/23,-8.65882
2/13/23,-6.68216
2/13/23,-0.01039
2/13/23,-0.01019
2/13/23,18.74066
2/13/23,23.36395
2/13/23,3.40548
2/13/23,-0.01003
2/13/23,-0.01003
2/13/23,-0.01
2/13/23,0.00609
2/13/23,29.69997
2/13/23,34.95087
2/13/23,39.69971
2/13/23,44.35053
2/13/23,57.1949
2/13/23,65.72
2/13/23,66.72
2/13/23,71.63
2/13/23,47.51913
2/13/23,48.208
2/13/23,49.88024
2/13/23,52.90976
2/13/23,53.87185
2/13/23,57.27409
2/13/23,63.10838
2/13/23,65.87463
2/13/23,65.09778
2/13/23,65.81266
2/13/23,66.29856
2/13/23,65.94056
2/13/23,61.05219
2/13/23,55.88825
2/13/23,57.04307
2/13/23,56.61908
2/13/23,53.3609
2/13/23,52.65664
2/13/23,51.65391
2/13/23,51.31726
2/13/23,51.56163
2/13/23,50.54135
2/13/23,50.38332
2/13/23,49.93213
2/13/23,50.31608
2/13/23,48.93253
2/13/23,48.92502
2/13/23,48.93953
2/13/23,48.91994
2/13/23,48.30734
2/13/23,48.22858
2/13/23,48.12398
2/13/23,48.12398
2/13/23,47.62583
2/13/23,47.78165
2/13/23,48.34453
2/13/23,50.99811
2/13/23,50.96303
2/13/23,51.05173
2/13/23,50.5493
2/13/23,50.24542
2/13/23,48.79519
2/13/23,48.31162
2/13/23,48.31162
2/13/23,48.18025
2/13/23,47.33352
2/13/23,47.33352
2/13/23,48.15778
2/13/23,51.7698
2/13/23,51.37325
2/13/23,51.74279
2/13/23,52.61984
2/13/23,52.20562
2/13/23,52.20562
2/13/23,49.92596
2/13/23,49.69351
2/13/23,48.8475
2/13/23,47.25685
2/13/23,46.98725
2/13/23,47.02525
2/13/23,47.61562
2/13/23,47.97526
2/13/23,47.03391
2/13/23,47.15835
2/13/23,46.91203
2/13/23,45.52688
2/13/23,44.47638
2/13/23,42.78472
2/13/23,41.25389
2/13/23,41.31012
2/13/23,39.98223
2/13/23,39.93518
2/13/23,43.25444
2/13/23,44.77945
2/13/23,43.8681
2/13/23,43.38124
2/13/23,43.28684
2/13/23,43.28684
2/13/23,42.97
2/13/23,42.30478
2/13/23,41.59189
2/13/23,40.99031
2/13/23,39.92158
2/13/23,41.27839
2/14/23,44.87387
2/14/23,44.87387
2/14/23,44.64496
2/14/23,44.66894
2/14/23,43.39155
2/14/23,43.39155
2/14/23,43.14451
2/14/23,42.22117
2/14/23,41.86977
2/14/23,41.15
2/14/23,40.11286
2/14/23,40.90665
2/14/23,42.20383
2/14/23,42.20383
2/14/23,42.32695
2/14/23,41.87859
2/14/23,40.16935
2/14/23,40.01194
2/14/23,37.81676
2/14/23,36.68598
2/14/23,35.82485
2/14/23,34.91642
2/14/23,34.62346
2/14/23,34.44111
2/14/23,34.89492
2/14/23,34.72123
2/14/23,34.72123
2/14/23,37.59027
2/14/23,34.90925
2/14/23,35.47188
2/14/23,35.51633
2/14/23,34.47024
2/14/23,33.26287
2/14/23,32.7961
2/14/23,32.06959
2/14/23,31.61063
2/14/23,29.47177
2/14/23,30.70656
2/14/23,31.24222
2/14/23,33.60326
2/14/23,33.64802
2/14/23,35.80697
2/14/23,36.29254
2/14/23,37.19038
2/14/23,37.30936
2/14/23,37.85813
2/14/23,38.03356
2/14/23,38.84513
2/14/23,37.77
2/14/23,38.16382
2/14/23,39.01
2/14/23,39.12
2/14/23,41.5492
2/14/23,40.87626
2/14/23,45.0604
2/14/23,46.82989
2/14/23,48.31254
2/14/23,48.41025
2/14/23,48.64054
2/14/23,47.03451
2/14/23,44.8184
2/14/23,45.29587
2/14/23,46.88811
2/14/23,48.17732
2/14/23,49.21272
2/14/23,50.32569
2/14/23,52.28242
2/14/23,53.4861
2/14/23,53.67447
2/14/23,55.7288
2/14/23,56.55
2/14/23,55.83
2/14/23,54.86
2/14/23,54.51392
2/14/23,53.9112
2/14/23,54.06
2/14/23,54.51392
2/14/23,54.86
2/14/23,54.86
2/14/23,54.86
2/14/23,60.19248
2/14/23,61.78449
2/14/23,59.45789
2/14/23,61.9356
2/14/23,64.98933
2/14/23,65.19575
2/14/23,64.98933
2/14/23,65.66805
2/14/23,65.81994
2/14/23,60.76995
2/14/23,58.95562
2/14/23,59.99815
2/14/23,59.67777
2/14/23,54.03241
2/14/23,53.05543
2/14/23,54.41545
2/14/23,58.2452
2/14/23,61.58511
2/14/23,61.62006
2/14/23,55.78537
2/14/23,54.15376
2/14/23,51.53039
2/14/23,50.94184
2/14/23,52.83272
2/14/23,54.66245
2/14/23,54.98692
2/14/23,59.27021
2/14/23,58.77172
2/14/23,67.95409
2/14/23,77.97911
2/14/23,73.58254
2/14/23,77.32813
2/14/23,70.90863
2/14/23,74.01459
2/14/23,69.41259
2/14/23,62.53712
2/14/23,69.57076
2/14/23,63.52184
2/14/23,63.2993
2/14/23,62.55722
2/14/23,68.27911
2/14/23,68.27911
2/14/23,68.27911
2/14/23,73.77304
2/14/23,67.68145
2/14/23,74.16999
2/14/23,70.30016
2/14/23,72.16222
2/14/23,73.38034
2/14/23,72.53966
2/14/23,74.89323
2/14/23,74.02198
2/14/23,76.52735
2/14/23,76.84013
2/14/23,75.91343
2/14/23,73.10263
2/14/23,75.71489
2/14/23,73.99283
2/14/23,72.07725
2/14/23,74.7531
2/14/23,74.68333
2/14/23,79.74103
2/14/23,76.95894
2/14/23,77.30503
2/14/23,81.0715
2/14/23,80.98447
2/14/23,79.43869
2/14/23,79.31888
2/14/23,77.36281
2/14/23,75.51444
2/14/23,74.92049
2/14/23,74.87518
2/14/23,72.82058
2/14/23,73.99458
2/14/23,71.62851
2/14/23,69.61726
2/14/23,72.9355
2/14/23,73.00548
2/14/23,72.91834
2/14/23,64.59925
2/14/23,67.75268
2/14/23,67.51249
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,66.49682
2/14/23,50.52249
2/14/23,52.26185
2/14/23,55.24258
2/14/23,53.92775
2/14/23,52.09167
2/14/23,54.02822
2/14/23,71.97815
2/14/23,80.28967
2/14/23,80.69931
2/14/23,73.52582
2/14/23,58.49963
2/14/23,53.98159
2/14/23,67.53843
2/14/23,61.37241
2/14/23,60.9287
2/14/23,78.95482
2/14/23,75.17262
2/14/23,86.32177
2/14/23,82.41317
2/14/23,83.36749
2/14/23,80.40825
2/14/23,67.60037
2/14/23,60.06717
2/14/23,61.14475
2/14/23,66.53507
2/14/23,71.3591
2/14/23,80.57042
2/14/23,85.72579
2/14/23,86.10893
2/14/23,87.87635
2/14/23,92.78
2/14/23,95.51
2/14/23,100.19
2/14/23,71.80284
2/14/23,70.29483
2/14/23,70.90477
2/14/23,72.37143
2/14/23,80.37484
2/14/23,85.27041
2/14/23,91.68543
2/14/23,95.55502
2/14/23,96.97738
2/14/23,97.33726
2/14/23,99.76171
2/14/23,97.33843
2/14/23,86.88708
2/14/23,85.91702
2/14/23,85.79211
2/14/23,86.18209
2/14/23,86.39137
2/14/23,86.29139
2/14/23,86.04178
2/14/23,84.89722
2/14/23,82.94188
2/14/23,80.77219
2/14/23,79.45297
2/14/23,76.2362
2/14/23,75.4888
2/14/23,77.76062
2/14/23,74.08287
2/14/23,70.98797
2/14/23,74.04452
2/14/23,74.10971
2/14/23,75.08386
2/14/23,72.97149
2/14/23,80.08927
2/14/23,76.50606
2/14/23,73.59444
2/14/23,70.04676
2/14/23,81.24408
2/14/23,79.25469
2/14/23,81.14012
2/14/23,81.32157
2/14/23,81.07139
2/14/23,80.99346
2/14/23,79.88857
2/14/23,78.92577
2/14/23,76.81806
2/14/23,75.16497
2/14/23,77.18331
2/14/23,76.24224
2/14/23,76.90194
2/14/23,72.38996
2/14/23,72.07224
2/14/23,70.66334
2/14/23,72.97227
2/14/23,76.89038
2/14/23,76.83211
2/14/23,76.64335
2/14/23,71.65501
2/14/23,66.51561
2/14/23,63.21321
2/14/23,58.00399
2/14/23,59.40185
2/14/23,59.57748
2/14/23,58.9254
2/14/23,67.44235
2/14/23,61.19215
2/14/23,60.15251
2/14/23,60.62596
2/14/23,63.54578
2/14/23,65.67822
2/14/23,60.66267
2/14/23,57.93619
2/14/23,59.70031
2/14/23,70.54806
2/14/23,75.9943
2/14/23,76.93829
2/14/23,75.85084
2/14/23,70.98402
2/14/23,69.45896
2/14/23,65.64515
2/14/23,65.52032
2/14/23,58.35655
2/14/23,57.26341
2/14/23,58.21573
2/14/23,61.00809
2/15/23,65.70502
2/15/23,65.77058
2/15/23,65.70502
2/15/23,65.81265
2/15/23,65.81265
2/15/23,65.81265
2/15/23,65.68208
2/15/23,65.68208
2/15/23,66.74288
2/15/23,65.71047
2/15/23,65.71047
2/15/23,65.71047
2/15/23,69.19
2/15/23,67.0024
2/15/23,66.0048
2/15/23,65.9988
2/15/23,65.9376
2/15/23,65.0012
2/15/23,65.99777
2/15/23,65.9613
2/15/23,65.9613
2/15/23,65.86605
2/15/23,65.87161
2/15/23,65.87161
2/15/23,65
2/15/23,64.9988
2/15/23,65.36137
2/15/23,66.84981
2/15/23,67.64899
2/15/23,65.8969
2/15/23,66.3352
2/15/23,66.04461
2/15/23,66.04461
2/15/23,66.08919
2/15/23,66.30171
2/15/23,66.59847
2/15/23,66.90357
2/15/23,66.4882
2/15/23,68.4558
2/15/23,67.21394
2/15/23,70.04758
2/15/23,68.7762
2/15/23,68.75921
2/15/23,68.76313
2/15/23,68.80809
2/15/23,70.71106
2/15/23,71.90077
2/15/23,71.90077
2/15/23,71.33493
2/15/23,71.71382
2/15/23,76.7472
2/15/23,73.69908
2/15/23,76.32632
2/15/23,76.56834
2/15/23,76.87082
2/15/23,77.22707
2/15/23,78.17167
2/15/23,80.62518
2/15/23,80.87485
2/15/23,79.43549
2/15/23,72.30408
2/15/23,72.30289
2/15/23,72.31748
2/15/23,74.31867
2/15/23,76.85876
2/15/23,77.74349
2/15/23,78.36057
2/15/23,81.0712
2/15/23,82.9108
2/15/23,85.31269
2/15/23,90.7636
2/15/23,84.52903
2/15/23,76.83922
2/15/23,73.25941
2/15/23,76.49041
2/15/23,79.8267
2/15/23,88.11097
2/15/23,88.7213
2/15/23,93.70926
2/15/23,98.98128
2/15/23,100.42751
2/15/23,99.9988
2/15/23,110.5112
2/15/23,110.0012
2/15/23,124.23642
2/15/23,135.50072
2/15/23,104.65898
2/15/23,97.74211
2/15/23,74.69897
2/15/23,67.92081
2/15/23,77.97293
2/15/23,78.23092
